sample_date,year,month,brood_yr,smolt_yr,fish,length_mean_cm,length_sd_cm,mass_mean_g,mass_sd_g,density_ha-1
5/28/1999,1999,5,1998,2000,Age-0 Nerkid,NA,NA,NA,NA,274
8/11/1999,1999,8,1998,2000,Age-0 Nerkid,NA,NA,NA,NA,304
9/25/1999,1999,9,1998,2000,Age-0 Nerkid,NA,NA,NA,NA,326
3/2/2004,2004,3,2002,2004,Age-0 Nerkid,3.2,0.1,0.7,1.9,465
11/3/2004,2004,11,2003,2005,Age-0 Nerkid,7.2,0.8,4,1.5,665
9/21/2003,2003,9,2002,2004,Age-0 Nerkid,6.8,0.54,2.69,0.7,881
2/19/2005,2005,2,2003,2005,Age-0 Nerkid,NA,NA,NA,NA,912
11/3/1997,1997,11,1996,1998,Age-0 Nerkid,8.6,1.3,7.2,3.2,1005
3/28/2017,2017,3,2015,2017,Age-0 Nerkid,8.4,0.7,6.1,1.6,1104
7/21/2004,2004,7,2003,2005,Age-0 Nerkid,5.4,0.5,1.3,0.4,1109
9/27/2000,2000,9,1999,2001,Age-0 Nerkid,8,1,5.5,2.2,1162
3/15/2021,2021,3,2019,2021,Age-0 Nerkid,7.97,0.67,5.07,1.24,1202
9/9/1997,1997,9,1996,1998,Age-0 Nerkid,NA,NA,NA,NA,1326
11/19/2020,2020,11,2019,2021,Age-0 Nerkid,7.14,1.25,3.77,1.25,1343
10/5/2018,2018,10,2017,2019,Age-0 Nerkid,7.83,0.66,5.28,1.38,1447
8/9/2018,2018,8,2017,2019,Age-0 Nerkid,6.56,0.65,3.04,0.91,1478
2/27/2015,2015,2,2013,2015,Age-0 Nerkid,7.5,NA,4.4,NA,1552
7/29/1997,1997,7,1996,1998,Age-0 Nerkid,NA,NA,NA,NA,1557
10/21/2020,2020,10,2019,2021,Age-0 Nerkid,7.07,0.69,4.91,1.51,1578
7/27/2018,2018,7,2017,2019,Age-0 Nerkid,5.87,0.68,2.19,0.84,1596
7/5/2000,2000,7,1999,2001,Age-0 Nerkid,6.4,1,3,1.3,1939
10/30/2002,2002,10,2001,2003,Age-0 Nerkid,NA,NA,NA,NA,1965
2/23/2003,2003,2,2001,2003,Age-0 Nerkid,NA,NA,NA,NA,2012
2/27/2020,2020,2,2018,2020,Age-0 Nerkid,NA,NA,NA,NA,2077
10/23/2014,2014,10,2013,2015,Age-0 Nerkid,6.8,NA,3.4,NA,2109
5/26/2003,2003,5,2002,2004,Age-0 Nerkid,NA,NA,NA,NA,2199
11/25/2002,2002,11,2001,2003,Age-0 Nerkid,7.2,0.7,3.2,1,2230
8/12/2020,2020,8,2019,2021,Age-0 Nerkid,6.1,0.54,2.41,0.67,2259
10/30/2016,2016,10,2015,2017,Age-0 Nerkid,7.8,0.7,5.1,1.4,2322
11/1/2019,2019,11,2018,2020,Age-0 Nerkid,6.63,1,3.24,1.55,2455
7/6/2016,2016,7,2015,2017,Age-0 Nerkid,5.3,0.6,1.9,0.6,2497
7/24/1998,1998,7,1997,1999,Age-0 Nerkid,6.1,0.6,2.6,0.9,2678
9/24/2014,2014,9,2013,2015,Age-0 Nerkid,6.2,0.6,2.7,0.8,2882
