collect.date,year,doy,BY,location,ona_id,total.age,european.age,FL_mm,weight_g,hatchery,sex,comments
2006-03-15,2006,74,2004,OK Falls Prov Park- VDS 17,NA,unknown,unknown,100,10.8,Unknown,NA,was numbered as 4
2006-04-12,2006,102,2004,OK Falls Prov Park- VDS 17,1525,unknown,unknown,113,16.4,Unknown,NA,
2006-04-12,2006,102,2004,OK Falls Prov Park- VDS 17,1526,unknown,unknown,98,10.4,Unknown,NA,
2006-04-12,2006,102,2004,OK Falls Prov Park- VDS 17,1529,unknown,unknown,103,10.9,Unknown,NA,
2006-04-12,2006,102,2004,OK Falls Prov Park- VDS 17,1531,unknown,unknown,109,11.6,Unknown,NA,
2006-04-13,2006,103,2004,OK Falls Prov Park- VDS 17,1538,unknown,unknown,115,13.35,Unknown,NA,couldn't tell if calcein marked due to ethanol
2006-04-13,2006,103,2004,OK Falls Prov Park- VDS 17,1540,unknown,unknown,114,15.73,Unknown,NA,weren't preserved right away (5 days)
2006-04-13,2006,103,2004,OK Falls Prov Park- VDS 17,1541,unknown,unknown,110,13.57,Unknown,NA,weren't preserved right away (5 days)
2006-04-13,2006,103,2004,OK Falls Prov Park- VDS 17,1544,unknown,unknown,110,13.59,Unknown,NA,weren't preserved right away (5 days)
2006-04-13,2006,103,2004,OK Falls Prov Park- VDS 17,1545,unknown,unknown,110,15.06,Unknown,NA,weren't preserved right away (5 days)
2006-04-13,2006,103,2004,OK Falls Prov Park- VDS 17,1546,unknown,unknown,93,9.43,Unknown,NA,weren't preserved right away (5 days)
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1549,unknown,unknown,108,16.3,Unknown,NA,weren't preserved right away (5 days)
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1551,unknown,unknown,112,15,Unknown,NA,weren't preserved right away (5 days)
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1555,unknown,unknown,113,14.3,Unknown,NA,weren't preserved right away (5 days)
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1556,unknown,unknown,110,14.1,Unknown,NA,weren't preserved right away (5 days)
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1557,unknown,unknown,113,16.7,Unknown,NA,weren't preserved right away (5 days)
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1558,unknown,unknown,110,14.6,Unknown,NA,weren't preserved right away (5 days)
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1559,unknown,unknown,105,12.1,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1561,unknown,unknown,100,11.3,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1562,unknown,unknown,115,15.3,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1563,unknown,unknown,112,14.6,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1564,unknown,unknown,104,11.7,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1565,unknown,unknown,99,10.3,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1566,unknown,unknown,113,14.1,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1567,unknown,unknown,113,14.1,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1568,unknown,unknown,110,15.8,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1569,unknown,unknown,114,17.4,Unknown,NA,
2006-04-18,2006,108,2004,OK Falls Prov Park- VDS 17,1570,unknown,unknown,110,14.9,Unknown,NA,
2006-04-20,2006,110,2004,OK Falls Prov Park- VDS 17,1575,unknown,unknown,109,12.94,Unknown,NA,
2006-04-20,2006,110,2004,OK Falls Prov Park- VDS 17,1576,unknown,unknown,115,15.83,Unknown,NA,
2006-04-20,2006,110,2004,OK Falls Prov Park- VDS 17,1579,unknown,unknown,114,14.27,Unknown,NA,
2006-04-20,2006,110,2004,OK Falls Prov Park- VDS 17,1580,unknown,unknown,112,12.98,Unknown,NA,
2006-04-20,2006,110,2004,OK Falls Prov Park- VDS 17,1581,unknown,unknown,112,13.68,Unknown,NA,
2006-04-20,2006,110,2004,OK Falls Prov Park- VDS 17,1583,unknown,unknown,113,12.74,Unknown,NA,
2006-04-20,2006,110,2004,OK Falls Prov Park- VDS 17,1585,unknown,unknown,112,14.4,Unknown,NA,
2006-04-20,2006,110,2004,OK Falls Prov Park- VDS 17,1587,unknown,unknown,115,16.25,Unknown,NA,
2006-04-20,2006,110,2004,OK Falls Prov Park- VDS 17,1588,unknown,unknown,95,9.76,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1591,unknown,unknown,109,13.21,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1592,unknown,unknown,113,14.96,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1593,unknown,unknown,106,12.81,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1594,unknown,unknown,112,15.3,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1595,unknown,unknown,107,14.58,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1598,unknown,unknown,115,18.97,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1599,unknown,unknown,115,11.68,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1601,unknown,unknown,113,14.86,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1602,unknown,unknown,110,13.11,Unknown,NA,
2006-04-21,2006,111,2004,OK Falls Prov Park- VDS 17,1604,unknown,unknown,113,13.98,Unknown,NA,
